last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	midterm	final	total	grade
2726	7	15	18	16	17	0	0	17	20	66.67%	77	64	67.67	1.4
2730	10	14	20	19	17	18	20	18	20	94.55%	85	90	90.82	3.6
2746	9	15	17	20	0	20	0	16	20	70.91%	79	76	74.56	2.1
2761	9	15	20	19	19	18	20	20	20	96.97%	88	96	94.79	3.8
2770	9	15	20	17	6	 	 	0	3	42.42%	43	22	34.37	0
2792	9	14	20	20	16	3	18	 	20	72.73%	36	9	39.89	0
2814	9	15	20	19	19	19	18	20	20	96.36%	91	90	92.75	3.7
2828	10	15	20	19	17	17	19	18	20	93.94%	78	52	73.98	2
2842	7	10	20	19	19	16	15	19	20	87.88%	56	42	63.15	1
2892	10	15	20	19	20	8	0	15	20	76.97%	71	55	66.99	1.3
2927	8	13	20	19	17	19	14	17	20	89.09%	84	81	84.84	3
2992	9	15	18	17	15	18	6	15	20	80.61%	79	55	70.04	1.6
3030	6	12	18	19	18	5	11	18	20	76.97%	72	74	74.79	2.1
3042	8	15	20	18	18	18	16	16	20	90.30%	83	76	83.12	2.8
3045	10	14	18	18	16	17	14	19	20	88.48%	74	89	85.79	3.1
3078	10	15	20	18	17	17	20	19	20	94.55%	85	70	82.82	2.8
3150	9	15	20	19	17	20	20	19	20	96.36%	95	93	94.75	3.8
3177	4	14	20	20	20	18	20	18	20	93.33%	42	59	69.33	1.5
3239	9	14	19	20	16	17	19	15	15	87.27%	84	86	86.11	3.1
3250	10	15	20	18	20	18	19	20	20	96.97%	89	76	86.99	3.2
3264	8	14	20	18	18	18	15	14	20	87.88%	77	79	82.15	2.8
3279	10	15	20	20	19	20	20	20	20	99.39%	89	99	97.16	4
3304	9	15	20	18	17	19	20	20	20	95.76%	89	95	94.10	3.8
3384	9	14	20	20	16	18	19	18	20	93.33%	81	83	86.73	3.2
3389	8	14	20	0	15	16	0	13	20	64.24%	84	49	62.10	0.9
3422	10	13	20	19	19	17	17	15	20	90.91%	77	59	75.36	2.1
3431	10	15	20	0	20	18	0	15	20	71.52%	79	70	72.41	1.8
3454	9	14	13	19	19	20	20	9	20	86.67%	43	55	65.27	1.2
3464	9	14	20	20	20	19	18	19	20	96.36%	97	91	94.35	3.8
3477	7	14	20	19	17	14	16	17	20	87.27%	87	80	84.31	2.9
3505	10	15	20	19	20	20	20	20	20	99.39%	81	83	89.16	3.4
3506	8	15	20	19	19	18	20	20	20	96.36%	95	95	95.55	3.9
3519	9	15	19	19	17	17	14	16	20	88.48%	55	58	69.59	1.6
3519	8	15	20	19	18	18	19	17	20	93.33%	87	54	76.33	2.2
3539	8	15	16	16	16	18	17	18	20	87.27%	88	87	87.31	3.2
3542	10	15	20	20	20	20	20	18	20	98.79%	96	96	97.12	4
3574	10	15	19	20	17	16	19	17	20	92.73%	91	85	89.29	3.4
3749	7	14	20	19	18	19	20	16	20	92.73%	90	83	88.29	3.3
3776	10	14	20	20	20	0	20	16	20	84.85%	89	75	81.74	2.7
3780	6	15	19	20	19	17	10	15	20	85.45%	74	74	78.58	2.5
3786	9	14	20	19	19	19	19	19	20	95.76%	73	77	83.70	2.9
3799	10	14	20	18	18	17	20	19	20	94.55%	86	92	91.82	3.6
3803	9	15	20	20	19	16	17	18	20	93.33%	85	84	87.93	3.3
3841	9	13	19	12	19	19	16	18	9	81.21%	66	75	75.68	2.2
3847	9	15	19	20	20	17	20	20	20	96.97%	90	86	91.19	3.6
3857	10	13	20	17	19	15	18	18	20	90.91%	95	93	92.56	3.7
3937	9	14	20	20	19	20	20	19	20	97.58%	88	81	89.03	3.4
3952	10	15	20	19	19	17	20	20	20	96.97%	90	93	93.99	3.8
3978	9	15	20	20	20	18	16	17	20	93.94%	91	80	87.78	3.3
4005	9	15	20	19	19	19	14	14	20	90.30%	79	77	82.72	2.8
4009	10	15	20	17	17	16	14	19	20	89.70%	69	56	72.08	1.8
4018	9	15	20	19	17	20	18	18	20	94.55%	71	52	72.82	1.9
4032	9	14	19	19	18	20	20	20	20	96.36%	98	100	98.15	4
4127	8	15	18	20	16	15	17	17	15	85.45%	67	62	72.38	1.8
4146	10	15	20	20	19	19	20	20	20	98.79%	72	83	87.12	3.2
4166	8	14	20	18	19	18	20	19	20	94.55%	85	76	85.22	3
4265	10	14	20	19	20	18	19	20	20	96.97%	91	86	91.39	3.6
4267	10	15	20	19	19	19	20	17	20	96.36%	86	87	90.55	3.5
4282	8	15	19	18	16	14	17	16	20	86.67%	83	74	80.87	2.6
4336	9	15	18	20	18	19	19	19	20	95.15%	84	83	88.06	3.3
4337	8	14	17	16	8	18	18	6	20	75.76%	48	52	60.70	0.8
4395	9	15	14	17	19	 	 	18	20	67.88%	81	70	71.35	1.7
4439	9	15	14	16	18	18	18	16	20	87.27%	60	55	68.91	1.5
4449	9	15	20	18	19	20	20	20	20	97.58%	 	87	73.83	2
4477	9	15	20	20	20	10	14	20	20	89.70%	60	56	70.28	1.6
4507	9	14	20	19	19	19	20	19	20	96.36%	77	59	77.55	2.3
4508	9	14	14	18	17	 	 	 	12	50.91%	53	23	40.16	0
4568	10	14	20	20	19	18	20	17	20	95.76%	80	89	89.90	3.5
4595	10	15	20	20	20	0	20	19	20	87.27%	80	91	87.31	3.2
4674	6	15	16	15	19	16	 	18	15	72.73%	71	42	60.09	0.8
4678	9	15	20	0	20	17	20	14	20	81.82%	48	94	79.93	2.6
4683	9	15	19	19	20	20	20	19	20	97.58%	87	98	95.63	3.9
4772	9	15	19	20	20	20	18	11	20	92.12%	93	79	87.05	3.2
4779	9	15	19	18	17	20	17	14	20	90.30%	34	41	59.32	0.7
4846	6	15	20	17	19	19	19	18	20	92.73%	84	80	85.89	3.1
4851	10	15	20	20	20	19	20	20	20	99.39%	90	94	95.36	3.9
4900	9	15	18	20	18	17	16	18	18	90.30%	85	82	85.92	3.1
4975	9	15	16	11	15	13	12	9	20	72.73%	65	39	57.69	0
5024	9	15	20	18	20	20	20	20	20	98.18%	81	88	90.67	3.5
5113	10	15	15	0	0	0	0	0	6	27.88%	43	48	38.95	0
5131	9	15	18	19	18	17	20	18	20	93.33%	93	90	91.93	3.6
5153	10	15	14	19	18	17	19	19	20	91.52%	85	38	68.81	1.5
5189	8	14	20	17	14	16	0	16	20	75.76%	66	67	70.30	1.6
5208	8	15	20	20	18	20	20	19	20	96.97%	98	98	97.59	4
5226	10	15	20	20	0	19	0	18	20	73.94%	89	88	82.58	2.8
5243	10	12	17	16	17	9	0	0	20	61.21%	64	33	50.48	0
5390	9	14	20	19	18	0	0	0	20	60.61%	73	55	60.84	0.8
5396	10	15	20	20	20	18	20	18	20	97.58%	92	95	95.43	3.9
