last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	final	new final	total	grade
5671	15	17	20	16	18	18	17	26	 	86.47%	42	52	57	65.79	1.5
0738	16	18	10	19	16	16	14	 	 	64.12%	66	62	67	65.65	1.5
1619	17	16	15	10	10	14	20	29	 	77.06%	66	49	54	65.62	1.5
4778	16	20	20	 	12	 	9	 	 	45.29%	69	78	83	65.12	1.4
2826	18	18	19	19	18	20	19	29	 	94.12%	32	46	51	64.45	1.4
0343	19	19	20	20	19	17	19	30	 	95.88%	42	38	43	63.95	1.3
4695	9	18	7	11	17	17	12	17	 	63.53%	55	63	68	63.61	1.3
1709	18	20	19	19	19	19	17	27	 	92.94%	36	41	46	62.78	1.2
8050	16	17	17	19	15	10	18	17	 	75.88%	49	50	55	62.15	1.2
0590	18	18	19	18	16	19	13	30	 	88.82%	54	32	37	61.13	1.1
5226	18	20	7	18	 	19	17	 	 	58.24%	67	56	61	61.09	1.1
0305	20	11	12	 	 	20	4	 	 	39.41%	78	67	72	60.16	1
7114	 	19	17	17	19	18	19	30	 	81.76%	34	46	51	59.91	0.9
5896	8	17	15	19	12	11	14	23	 	70.00%	32	58	63	59.60	0.9
5524	19	14	16	19	4	11	14	18	 	67.65%	51	42	47	56.06	0.7
2098	16	19	19	20	19	19	19	26	 	92.35%	23	29	34	55.14	0
7227	19	13	15	19	18	17	17	27	 	85.29%	28	32	37	54.52	0
1582	20	19	13	17	17	17	17	21	 	82.94%	32	31	36	53.98	0
0351	7	11	9	6	14	 	16	10	 	42.94%	35	67	72	52.98	0
1952	15	18	18	19	0	15	18	0	 	60.59%	47	36	41	50.04	0
2333	18	17	15	19	10	6	19	27	 	77.06%	24	29	34	49.22	0
7658	20	 	 	 	 	 	 	 	 	11.76%	66	73	78	49.11	0
0324	19	20	19	19	18	20	19	 	 	78.82%	61	6	11	48.13	0
1457	20	19	18	19	14	 	 	 	 	52.94%	48	34	39	46.38	0
9503	11	7	 	8	 	 	 	 	 	15.29%	70	59	64	45.72	0
2802	 	4	13	13	13	4	 	15	 	36.47%	61	40	45	44.79	0
5728	13	 	10	 	 	3	 	 	 	15.29%	59	52	57	40.72	0
2726	20	10	18	19	16	7	 	 	 	52.94%	54	8	13	37.18	0
1075	9	17	13	 	 	 	 	 	 	22.94%	51	38	43	36.58	0
6314	11	15	13	13	16	15	11	 	 	55.29%	61	 	 	34.32	0
2719	9	10	9	9	 	 	 	 	 	21.76%	56	31	36	34.31	0
1894	8	11	13	18	15	 	 	 	 	38.24%	65	 	 	28.29	0
0187	11	13	 	16	19	 	 	 	 	34.71%	50	 	 	23.88	0
4577	8	17	14	19	17	12	 	 	 	51.18%	 	 	 	20.47	0
