last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new midterm	final	total	grade
4079	19	18	19	17	18	18	16	23	 	87.06%	76	82	78	82.42	2.8
7958	17	18	17	19	17	11	19	28	 	85.88%	70	76	82	82.35	2.8
6034	17	20	20	20	19	18	19	30	 	95.88%	74	80	70	82.35	2.8
0962	19	19	19	19	20	14	20	30	 	94.12%	63	69	77	82.25	2.8
8066	19	15	15	19	19	19	19	29	 	90.59%	44	50	89	81.84	2.8
0727	18	16	16	19	19	19	19	29	 	91.18%	74	80	73	81.67	2.8
4359	16	18	14	16	19	17	14	20	 	78.82%	73	79	85	81.33	2.7
0540	18	20	17	18	19	14	20	27	 	90.00%	73	79	73	81.00	2.7
5461	20	17	18	19	17	18	18	29	 	91.76%	68	74	73	80.71	2.7
1303	19	17	17	17	20	17	18	27	 	89.41%	52	58	83	80.56	2.7
9523	17	11	15	15	18	18	16	23	 	78.24%	84	90	78	80.49	2.7
2738	19	20	15	18	19	18	20	29	 	92.94%	83	89	63	80.18	2.6
2589	16	18	18	19	18	18	18	27	 	89.41%	56	62	80	80.16	2.6
0120	20	18	18	20	19	14	20	29	 	92.94%	80	86	64	79.98	2.6
0625	17	18	18	16	16	 	18	15	 	69.41%	77	83	89	79.96	2.6
9208	17	17	17	17	19	16	19	29	 	88.82%	62	68	77	79.93	2.6
0914	19	18	17	20	18	19	16	27	 	90.59%	82	88	64	79.44	2.5
2709	16	20	18	19	20	15	16	30	 	90.59%	74	80	68	79.44	2.5
1665	18	18	17	20	19	19	18	23	 	89.41%	72	78	70	79.36	2.5
0738	16	19	17	18	16	19	15	25	 	85.29%	59	65	80	79.12	2.5
4922	15	14	15	17	11	16	20	24	 	77.65%	59	65	87	78.86	2.5
3304	18	18	15	16	20	14	17	30	 	87.06%	60	66	77	78.82	2.5
3727	13	15	20	20	18	17	18	26	 	86.47%	65	71	75	78.79	2.5
1546	17	15	18	19	20	15	20	29	 	90.00%	55	61	76	78.60	2.5
2524	20	17	9	18	19	19	15	16	 	78.24%	72	78	79	78.49	2.5
