last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	Assign9	attendance	homework %	Midterm	Final	total	grade
2506	9	14	20	16	20	20	19	20	18	20	95.14%	81	71	82.65	2.8
1742	9	15	20	18	19	20	18	16	19	20	94.05%	81	72	82.62	2.8
1809	8	15	18	18	19	19	18	17	12	3	79.46%	90	82	82.58	2.8
0169	9	15	20	19	20	20	20	20	20	20	98.92%	57	78	82.17	2.8
3540	7	15	18	16	17	20	18	16	19	20	89.73%	73	79	82.09	2.8
0860	8	15	20	18	18	19	17	18	18	20	92.43%	81	72	81.97	2.7
8487	6	15	20	12	14	19	19	15	14	20	83.24%	83	80	81.90	2.7
5949	9	15	20	20	18	20	20	17	 	20	85.95%	73	82	81.78	2.7
1930	6	15	20	19	20	20	0	19	18	20	84.86%	83	78	81.75	2.7
7381	8	15	20	19	16	20	16	 	0	20	72.43%	93	85	81.57	2.7
6467	7	15	20	19	18	20	20	18	20	20	95.68%	65	75	81.27	2.7
4096	8	15	16	19	17	19	15	19	15	20	88.11%	80	75	81.24	2.7
1335	9	14	19	19	19	20	15	19	19	20	93.51%	81	69	81.21	2.7
5165	9	 	20	18	20	17	16	6	17	20	77.30%	70	90	80.92	2.6
8103	8	15	20	20	19	19	18	18	17	20	94.05%	70	73	80.82	2.6
0819	8	15	20	18	18	9	14	18	18	20	85.41%	85	74	80.76	2.6
5203	9	14	18	19	20	20	20	20	20	20	97.30%	69	70	80.72	2.6
1827	10	15	19	19	20	20	19	20	18	20	97.30%	81	64	80.72	2.6
3452	9	15	20	19	18	20	19	20	18	20	96.22%	71	70	80.69	2.6
3576	9	15	17	20	18	20	20	20	18	20	95.68%	78	67	80.67	2.6
7525	7	15	0	20	20	20	19	18	18	20	84.86%	87	73	80.55	2.6
4887	9	15	20	20	19	19	16	20	19	20	95.68%	63	74	80.47	2.6
7221	8	15	19	18	17	20	20	20	19	20	95.14%	70	71	80.45	2.6
0016	7	15	19	19	17	20	16	20	18	20	92.43%	73	72	80.37	2.6
7048	8	14	20	20	20	20	20	20	18	20	97.30%	83	62	80.32	2.6
4787	8	13	15	15	14	17	15	18	17	18	81.08%	79	80	80.23	2.6
3367	9	15	20	18	17	17	16	20	17	20	91.35%	76	70	79.74	2.5
9104	10	14	20	18	19	20	19	20	18	20	96.22%	74	66	79.69	2.5
3927	9	13	19	20	18	20	20	9	17	18	88.11%	64	78	79.24	2.5
3026	9	15	17	18	20	20	19	14	18	20	91.89%	80	66	79.16	2.5
8157	7	15	19	19	17	20	18	14	19	20	90.81%	88	63	79.12	2.5
6187	9	14	20	17	20	19	17	 	18	20	83.24%	91	69	79.10	2.5
0269	9	13	17	19	20	20	19	20	18	20	94.59%	72	67	79.04	2.5
4640	8	14	19	17	18	19	20	19	17	20	92.43%	72	69	78.97	2.5
7941	9	14	20	19	20	20	18	17	16	20	93.51%	87	60	78.81	2.4
8535	8	14	20	19	10	20	0	20	17	20	80.00%	82	76	78.80	2.4
1440	6	15	20	19	17	17	18	20	19	20	92.43%	53	78	78.77	2.4
0199	9	15	17	19	15	19	17	18	17	20	89.73%	70	72	78.69	2.4
6032	6	15	15	19	17	20	18	20	19	20	91.35%	80	65	78.54	2.4
8358	8	14	18	14	17	20	17	20	19	20	90.27%	70	71	78.51	2.4
9403	9	15	17	12	17	20	18	20	16	20	88.65%	83	66	78.46	2.4
1507	7	14	14	18	19	20	5	20	19	20	84.32%	75	74	78.33	2.4
2103	10	15	20	19	20	20	20	19	19	20	98.38%	 	97	78.15	2.4
9225	9	14	16	17	20	20	19	20	19	20	94.05%	56	73	78.02	2.4
0634	10	15	19	19	16	16	15	16	19	20	89.19%	87	62	77.88	2.3
8045	9	15	17	18	20	20	19	20	16	20	94.05%	87	57	77.82	2.3
1782	5	15	18	19	12	20	17	20	 	20	78.92%	76	77	77.57	2.3
1594	10	15	20	17	18	19	18	20	17	20	94.05%	53	73	77.42	2.3
6664	9	15	15	11	14	19	12	15	13	20	77.30%	70	81	77.32	2.3
0164	9	15	20	17	16	18	17	20	18	20	91.89%	82	60	77.16	2.3
5994	 	12	17	17	18	19	19	16	0	20	74.59%	86	75	77.04	2.3
8986	10	15	17	19	18	20	17	15	19	20	91.89%	85	58	76.96	2.2
1850	8	14	14	17	19	20	14	20	19	20	89.19%	78	64	76.88	2.2
1768	8	13	20	18	18	19	18	20	18	18	91.89%	72	64	76.76	2.2
0785	9	14	0	20	18	20	15	20	18	20	83.24%	77	70	76.70	2.2
0049	8	13	17	16	20	20	13	18	19	18	87.57%	84	62	76.63	2.2
3209	8	 	20	18	20	20	 	12	15	20	71.89%	73	83	76.56	2.2
7689	9	15	17	18	13	15	19	20	16	20	87.57%	85	61	76.43	2.2
4831	9	15	20	18	17	20	16	20	18	20	93.51%	77	59	76.41	2.2
6577	10	15	19	19	19	17	19	19	13	20	91.89%	67	65	76.16	2.2
2868	9	15	20	19	19	20	14	 	18	20	83.24%	80	67	76.10	2.2
8590	9	14	20	18	19	18	14	16	16	20	88.65%	49	77	76.06	2.2
9359	9	15	0	0	19	19	18	20	19	20	75.14%	72	79	76.05	2.2
3451	6	14	20	20	17	 	14	20	19	20	81.08%	67	75	75.83	2.1
3231	9	15	20	19	17	19	20	20	19	20	96.22%	84	51	75.69	2.1
1833	9	15	20	17	17	18	16	20	19	20	92.43%	69	62	75.57	2.1
1379	6	15	20	18	19	7	17	 	16	20	74.59%	88	70	75.44	2.1
1563	9	14	19	15	18	19	19	19	18	20	91.89%	77	58	75.36	2.1
3633	6	13	20	18	18	19	16	10	17	15	82.16%	67	72	75.06	2.1
4088	7	15	20	19	18	19	19	 	18	20	83.78%	79	64	74.91	2.0
0733	7	15	20	18	14	20	6	19	16	20	83.78%	77	65	74.91	2.0
6303	10	15	19	19	17	17	 	20	18	20	83.78%	84	61	74.71	2.0
1397	6	15	17	20	19	20	19	20	18	20	94.05%	70	57	74.42	2.0
1753	8	15	20	19	18	20	19	18	17	20	94.05%	70	57	74.42	2.0
3564	7	14	20	19	18	20	19	20	17	20	94.05%	54	65	74.42	2.0
2192	8	14	19	16	17	19	8	20	19	20	86.49%	60	69	74.19	2.0
9198	9	15	20	19	18	19	17	19	17	20	93.51%	87	48	74.01	2.0
0656	9	15	18	19	20	20	20	17	19	20	95.68%	62	58	73.87	1.9
3024	9	14	20	18	19	20	17	16	19	18	91.89%	81	52	73.76	1.9
4904	8	15	19	18	18	20	20	 	18	20	84.32%	73	63	73.53	1.9
1551	8	15	13	17	17	20	19	19	18	20	89.73%	68	60	73.49	1.9
1221	9	15	20	19	17	20	18	19	19	6	87.57%	90	51	73.43	1.9
5250	8	14	17	20	16	20	 	19	16	20	81.08%	66	69	73.23	1.9
7954	8	11	18	17	14	19	17	19	17	20	86.49%	59	67	73.19	1.9
8246	9	15	18	18	16	20	 	20	18	20	83.24%	73	63	73.10	1.9
6308	7	15	19	15	17	19	12	1	9	20	72.43%	80	69	72.57	1.8
2413	9	15	16	18	19	20	20	18	14	20	91.35%	68	56	72.54	1.8
5183	7	14	20	19	18	20	6	20	17	20	87.03%	68	60	72.41	1.8
3283	8	14	20	18	16	19	9	15	10	20	80.54%	71	64	72.02	1.8
