last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	final	total	grade
6356	18	14	12	17	0	0	18	28	 	5	62.94%	56	52	57.18	0.7
1881	11	6	12	16	9	6	17	17	0	5	55.29%	49	62	56.72	0.7
0625	14	12	12	16	16	13	9	3	 	5	55.88%	61	53	55.75	0
5536	19	5	17	17	0	17	15	0	0	4	52.94%	58	56	55.18	0
3786	6	8	4	 	14	 	15	19	0	4	38.82%	45	75	54.53	0
6713	5	7	9	19	9	4	12	7	0	5	42.35%	63	60	53.54	0
6791	8	11	5	16	 	14	 	 	 	5	31.76%	74	63	52.71	0
4647	9	10	6	15	 	 	7	7	 	4	31.76%	69	62	51.31	0
0102	8	16	18	17	17	16	11	6	 	5	64.12%	51	38	51.05	0
8409	16	14	7	14	3	2	12	5	 	4	42.94%	57	56	50.98	0
4717	15	13	7	18	11	12	9	7	 	5	54.12%	61	39	49.45	0
3759	13	14	0	7	0	9	0	0	0	5	25.29%	65	64	48.72	0
2768	17	10	6	17	8	8	0	2	0	5	40.00%	56	46	45.60	0
9191	8	9	15	14	12	2	8	 	 	4	40.00%	62	42	45.20	0
1740	12	17	8	16	0	0	8	0	0	5	35.88%	68	41	44.35	0
5145	15	14	10	12	 	 	 	20	 	5	41.76%	45	43	42.91	0
2872	7	10	4	14	17	11	 	 	 	5	37.06%	56	41	42.42	0
3776	17	19	6	20	 	 	 	29	0	2	53.53%	57	16	39.21	0
0346	3	2	17	15	19	 	 	 	 	5	32.94%	46	40	38.38	0
6427	9	4	 	 	 	 	 	 	 	 	7.65%	49	58	36.06	0
1610	5	8	15	14	16	9	9	27	 	3	60.59%	15	14	32.84	0
4111	8	12	4	14	12	 	 	 	0	5	29.41%	43	30	32.36	0
2426	14	10	17	13	3	0	0	0	0	5	33.53%	28	33	32.21	0
6451	9	14	15	15	13	6	8	 	 	5	47.06%	58	0	30.42	0
3026	4	12	7	13	9	 	2	 	 	5	27.65%	37	22	27.26	0
3133	 	 	 	 	 	 	 	 	 	 	0.00%	38	37	22.40	0
0558	17	17	17	16	18	 	 	 	0	2	50.00%	 	0	20.00	0
3042	8	7	5	2	 	 	 	 	 	1	12.94%	67	0	18.58	0
0152	13	12	7	5	 	 	 	 	 	5	21.76%	40	0	16.71	0
0044	19	15	9	 	 	 	 	 	 	4	25.29%	 	0	10.12	0
0040	7	2	0	 	 	 	 	 	 	0	5.29%	34	0	8.92	0

mean	17.4	15.6	15.8	17.1	16.6	15.8	17.4	23.3	0.3	3.3	78.27%	74.2	69.3	73.7	2.3
median	19	17	17	18	18	17	19	27	0	4	86.47%	77	74	79.0	2.7
