
last 4 digits of sid	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
9989	18	16	12	10	 	16	19	19	27	 	2	0	80.6%	82	76	79.04	2.9
2158	20	15	17	18	 	17	19	13	18	 	0	0	80.6%	84	75	79.04	2.9
6678	17	19	14	17	 	20	16	20	25	 	2	0	87.1%	75	73	79.02	2.9
2757	18	16	12	16	 	19	17	18	26	 	4	0	83.5%	94	67	79.01	2.9
1132	18	18	16	20	0	18	17	16	24	 	0	0	86.5%	79	71	78.79	2.9
2263	19	18	18	16	 	18	17	17	26	 	0	0	87.6%	84	67	78.66	2.8
5098	15	14	12	16	 	16	17	18	28	 	3	0	80.0%	85	74	78.60	2.8
6765	18	18	18	17	 	17	14	18	27	 	5	0	86.5%	82	69	78.59	2.8
6052	18	15	17	20	 	19	15	20	30	 	2	3	91.2%	74	68	78.47	2.8
7277	17	19	18	12	 	14	13	16	28	 	5	0	80.6%	79	76	78.44	2.8
6584	17	14	14	15	 	15	18	16	23	 	5	0	77.6%	90	73	78.26	2.8
1233	16	18	19	17	 	18	18	17	29	 	1	0	89.4%	84	64	78.16	2.8
5850	18	19	17	13	 	15	15	20	28	 	1	0	85.3%	90	65	78.12	2.8
2511	19	19	19	18	 	19	18	17	27	 	5	0	91.8%	77	65	78.11	2.8
1125	20	17	18	17	 	19	18	19	27	 	2	0	91.2%	80	64	78.07	2.8
7905	19	19	19	19	 	18	17	18	26	 	0	0	91.2%	78	65	78.07	2.8
8592	14	15	18	16	 	15	17	20	27	 	5	0	83.5%	83	70	78.01	2.8
2616	16	16	17	16	1	15	16	19	29	 	4	0	85.3%	57	81	77.92	2.8
4329	16	15	17	15	 	14	18	10	27	 	2	3	78.2%	93	70	77.89	2.8
2282	19	17	15	17	 	20	18	16	29	 	5	0	88.8%	92	59	77.53	2.8
9631	15	17	12	16	 	13	13	18	16	 	5	1	70.8%	86	80	77.51	2.8
9252	16	18	20	19	 	19	18	18	28	 	2	0	91.8%	76	64	77.51	2.8
3238	19	17	16	16	 	20	16	15	28	 	4	0	86.5%	92	61	77.39	2.7
8429	18	17	18	20	 	18	17	19	25	 	5	0	89.4%	80	64	77.36	2.7
1248	17	16	18	15	 	18	17	14	25	 	5	0	82.4%	68	77	77.34	2.7
5934	19	16	18	17	 	20	18	19	16	 	4	0	84.1%	90	64	77.25	2.7
9522	19	15	16	19	 	18	13	13	24	 	5	0	80.6%	71	77	77.24	2.7
2189	19	19	16	19	 	16	15	15	27	 	5	0	85.9%	86	64	77.15	2.7
4892	19	19	17	15	 	18	13	18	26	 	4	0	85.3%	85	65	77.12	2.7
5162	20	19	20	19	1	18	20	20	29	 	3	0	97.6%	72	59	77.06	2.7
