
last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
5469	15	17	16	17	19	16	18	8	 	5	0	74.1%	73	81	76.65	2.5
1066	17	17	16	16	15	16	18	24	 	3	0	81.8%	79	70	76.51	2.5
1271	16	18	17	20	17	16	18	28	 	5	0	88.2%	73	66	76.29	2.5
0811	15	15	18	20	18	19	18	28	 	4	0	88.8%	63	70	76.13	2.5
7254	15	13	14	14	15	16	16	24	 	5	0	74.7%	75	78	76.08	2.5
2619	20	18	16	19	19	13	10	28	2	5	3	85.9%	74	67	75.95	2.4
3614	17	19	17	14	15	11	11	24	 	 	0	75.3%	89	70	75.92	2.4
3921	15	16	14	12	16	17	15	13	 	1	0	69.4%	86	77	75.76	2.4
0502	14	16	13	16	15	13	18	27	 	5	0	77.6%	82	70	75.46	2.4
0907	10	12	13	15	16	16	16	26	 	4	0	72.9%	78	76	75.18	2.4
5233	13	18	18	17	19	15	18	21	 	5	0	81.8%	68	72	75.11	2.4
4116	18	17	18	18	17	19	20	28	 	1	0	91.2%	55	69	75.07	2.4
1046	16	 	16	15	18	16	16	26	 	5	0	72.4%	83	73	74.74	2.3
3240	15	16	14	18	18	16	18	25	 	5	0	82.4%	73	67	74.34	2.3
1531	18	10	17	16	19	17	19	27	 	2	0	84.1%	63	70	74.25	2.3
0847	15	12	16	15	20	16	17	26	 	3	0	80.6%	72	69	74.24	2.3
8277	19	 	17	19	16	18	19	25	 	1	0	78.2%	78	68	74.09	2.3
5061	14	15	11	14	12	14	20	25	 	5	0	73.5%	69	77	74.01	2.3
4809	17	19	20	17	19	16	18	18	 	5	3	85.3%	57	71	73.92	2.2
2085	13	14	16	17	12	16	12	25	 	4	0	73.5%	72	75	73.81	2.2
4623	14	14	12	15	18	17	19	15	 	5	0	72.9%	66	76	72.78	2.1
4421	15	18	17	17	12	13	17	25	 	 	0	78.8%	74	66	72.73	2.1
1848	18	12	14	18	16	11	17	13	 	5	1	70.2%	69	77	72.68	2.1
2925	11	17	17	18	17	15	17	27	 	5	0	81.8%	63	68	72.51	2.1
2737	13	18	16	15	18	14	15	19	 	 	0	75.3%	69	71	72.32	2.1
3226	16	8	15	14	17	16	17	18	 	5	0	71.2%	65	77	72.27	2.1
