last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	weekly %	midterm	final	new fin	total	grade
7922	10	16	20	18	20	15	17	18	-1	20	92.77%	76	77	83	85.51	3.1
5463	8	15	19	18	17	16	18	16	5	20	88.55%	92	73	79	85.42	3
6151	10	14	20	18	19	20	18	17	5	20	93.98%	83	72	78	85.39	3
2729	10	16	19	20	16	20	19	19	1	20	95.78%	81	71	77	85.31	3
0100	10	16	18	18	14	17	15	18	4	20	87.95%	82	78	84	85.18	3
7814	9	15	19	14	17	16	18	17	-1	20	87.35%	85	77	83	85.14	3
1207	9	14	17	19	20	20	20	19	 	20	95.18%	87	68	74	85.07	3
1069	9	16	18	16	19	18	19	18	3	20	92.17%	85	72	78	85.07	3
1599	8	14	19	17	18	18	18	15	3	20	88.55%	70	83	89	85.02	3
0696	10	15	19	18	17	17	15	18	5	20	89.76%	79	77	83	84.90	3
6247	7	16	19	17	16	19	15	18	 	20	88.55%	79	78	84	84.82	3
1578	7	16	19	18	16	16	19	15	 	20	87.95%	86	75	81	84.78	3
7911	9	16	17	18	18	16	17	18	 	20	89.76%	92	70	76	84.70	3
0979	9	16	16	19	19	0	18	17	5	20	80.72%	84	83	89	84.69	3
8865	9	15	20	20	18	15	16	17	1	20	90.36%	80	75	81	84.54	3
6476	9	16	19	17	18	19	17	19	3	20	92.77%	81	72	78	84.51	3
1939	9	16	18	19	19	18	18	17	 	20	92.77%	79	73	79	84.51	3
5666	9	16	16	17	18	17	15	16	4	20	86.75%	83	77	83	84.50	2.9
5964	10	14	15	17	17	 	13	18	2	20	74.70%	87	87	93	84.48	2.9
1098	9	16	18	18	19	14	19	20	1	20	92.17%	72	77	83	84.47	2.9
6756	10	16	20	17	19	15	17	17	2	20	90.96%	80	74	80	84.39	2.9
7960	9	16	19	20	15	15	16	19	4	20	89.76%	82	74	80	84.30	2.9
3268	8	15	20	18	11	17	16	18	 	20	86.14%	87	75	81	84.26	2.9
5494	9	16	18	20	18	18	19	18	3	20	93.98%	85	68	74	84.19	2.9
2198	10	16	20	20	20	 	16	19	5	20	84.94%	87	76	82	84.18	2.9
3062	10	11	14	18	15	13	14	14	4	20	77.71%	93	80	86	84.08	2.9
2592	8	15	19	 	13	15	20	19	1	20	77.71%	85	84	90	84.08	2.9
6170	8	15	14	17	18	18	17	18	 	20	87.35%	91	71	77	83.94	2.9
1898	10	15	19	18	13	17	18	15	4	15	84.34%	73	83	89	83.93	2.9
5887	6	16	19	18	16	15	14	19	3	15	83.13%	81	80	86	83.85	2.9
0257	9	15	17	20	13	19	17	16	 	20	87.95%	83	74	80	83.78	2.9
1644	9	16	17	18	18	16	16	15	5	20	87.35%	66	83	89	83.74	2.9
0824	9	16	20	16	18	17	17	20	3	20	92.17%	88	67	73	83.67	2.9
4106	6	13	18	17	14	16	18	16	 	20	83.13%	86	77	83	83.65	2.9
1454	9	16	20	18	16	17	16	 	1	20	79.52%	89	79	85	83.61	2.9
7558	9	16	16	19	16	13	18	8	5	20	81.33%	87	78	84	83.53	2.9
1309	9	15	17	18	18	18	20	19	1	20	92.77%	82	69	75	83.51	2.9
0033	10	15	17	18	17	15	16	19	4	20	88.55%	78	75	81	83.42	2.8
4493	8	15	19	17	18	14	14	17	5	20	85.54%	94	70	76	83.42	2.8
4006	6	15	17	16	16	16	15	17	4	20	83.13%	86	76	82	83.25	2.8
4387	9	16	18	19	20	19	19	19	 	20	95.78%	86	63	69	83.11	2.8
3405	8	16	16	19	17	16	19	18	4	20	89.76%	84	70	76	83.10	2.8
2675	8	14	19	 	17	19	18	19	 	20	80.72%	84	79	85	83.09	2.8
5918	8	11	2	19	15	16	15	17	5	20	74.10%	89	83	89	83.04	2.8
8257	9	14	17	18	15	16	18	20	1	20	88.55%	82	72	78	83.02	2.8
3667	9	14	20	18	16	17	18	15	5	20	88.55%	88	69	75	83.02	2.8
9331	10	16	20	17	18	19	18	18	4	20	93.98%	87	64	70	82.99	2.8
5341	8	15	20	18	15	18	19	18	4	20	90.96%	77	72	78	82.99	2.8
0906	9	16	19	17	20	0	16	18	 	20	81.33%	84	78	84	82.93	2.8
0046	10	16	19	18	13	16	17	18	 	20	88.55%	83	71	77	82.82	2.8
5636	9	15	17	20	18	19	19	19	4	20	93.98%	80	67	73	82.79	2.8
2528	7	12	0	15	18	13	17	18	5	20	72.29%	89	84	90	82.72	2.8
0442	8	15	14	17	19	16	19	18	1	20	87.95%	73	76	82	82.58	2.8
0848	9	16	16	20	18	14	18	18	5	20	89.76%	81	70	76	82.50	2.8
7897	9	16	19	19	16	19	20	15	 	20	92.17%	82	67	73	82.47	2.7
2107	9	14	20	18	14	17	14	16	 	20	85.54%	87	71	77	82.42	2.7
5953	9	15	18	18	16	15	16	17	4	20	86.75%	86	70	76	82.30	2.7
7822	9	16	18	18	18	17	17	19	4	20	91.57%	72	72	78	82.23	2.7
5552	9	16	18	13	18	16	14	18	2	20	85.54%	86	71	77	82.22	2.7
0232	9	15	16	15	15	18	18	20	4	20	87.95%	81	71	77	82.18	2.7
8209	10	16	20	19	19	19	20	20	5	20	98.19%	72	65	71	82.08	2.7
9685	9	15	15	19	17	17	13	18	 	20	86.14%	66	80	86	82.06	2.7
4951	9	16	14	16	13	15	16	18	 	20	82.53%	77	78	84	82.01	2.7
0453	9	16	20	19	13	16	16	20	2	20	89.76%	79	69	75	81.70	2.7
5878	9	14	19	18	17	19	19	16	5	18	89.76%	81	68	74	81.70	2.7
0670	9	15	19	15	15	14	13	19	 	20	83.73%	81	74	80	81.69	2.7
4171	9	15	15	15	14	15	16	18	3	20	82.53%	87	72	78	81.61	2.7
8120	8	15	19	18	16	16	19	19	 	20	90.36%	67	74	80	81.54	2.7
3674	10	16	20	19	17	19	19	18	5	20	95.18%	81	62	68	81.47	2.6
9926	8	16	19	17	13	17	16	17	5	20	86.14%	87	68	74	81.46	2.6
1750	9	16	19	16	17	13	18	19	 	20	88.55%	78	70	76	81.42	2.6
2516	8	16	20	20	18	18	18	17	3	20	93.37%	70	69	75	81.35	2.6
4517	9	16	15	19	15	15	19	19	 	20	88.55%	75	71	77	81.22	2.6
6164	10	15	 	20	17	19	17	18	5	20	81.93%	77	76	82	80.97	2.6
7100	10	16	17	18	17	 	15	18	0	20	78.92%	73	81	87	80.97	2.6
3076	8	14	19	17	17	10	12	18	2	20	81.33%	88	71	77	80.93	2.6
1041	10	15	19	20	18	19	19	20	5	20	96.39%	75	62	68	80.75	2.6
9717	10	15	19	16	15	17	19	18	 	20	89.76%	78	67	73	80.70	2.6
2530	8	16	13	 	15	17	17	18	1	20	74.70%	88	77	83	80.68	2.6
2913	9	15	19	19	19	18	20	19	3	20	95.18%	69	66	72	80.67	2.6
9378	9	16	20	19	19	15	19	20	4	20	94.58%	80	61	67	80.63	2.6
8290	7	14	19	18	17	13	19	16	2	20	86.14%	82	68	74	80.46	2.5
5123	8	16	 	20	15	17	18	17	5	20	78.92%	78	77	83	80.37	2.5
3291	10	16	19	18	17	8	15	19	2	20	85.54%	78	70	76	80.22	2.5
1714	10	16	17	18	20	17	19	 	3	20	82.53%	88	68	74	80.21	2.5
5812	10	15	18	17	17	17	19	19	5	20	91.57%	71	67	73	80.03	2.5
6389	7	15	17	20	12	15	17	18	2	20	84.94%	78	70	76	79.98	2.5
0904	 	15	14	16	12	12	12	17	5	20	71.08%	91	77	83	79.83	2.5
2428	7	16	19	17	19	19	20	20	 	20	94.58%	70	64	70	79.83	2.5
2476	10	16	17	17	18	16	19	18	3	20	90.96%	75	65	71	79.79	2.5
0604	10	16	20	19	15	19	19	18	3	20	93.98%	72	63	69	79.59	2.5
9133	9	13	14	17	16	20	18	19	2	20	87.95%	78	66	72	79.58	2.5
6132	8	15	17	14	18	16	11	17	5	20	81.93%	74	74	80	79.57	2.5
0029	10	16	19	18	17	14	15	14	2	20	86.14%	77	68	74	79.46	2.4
3581	10	16	20	20	19	19	20	18	5	20	97.59%	86	52	58	79.44	2.4
8057	8	15	19	18	19	19	 	19	 	20	82.53%	86	67	73	79.41	2.4
6987	8	16	19	19	18	18	18	19	5	20	93.37%	76	61	67	79.35	2.4
4735	9	13	20	17	16	18	17	 	 	20	78.31%	92	68	74	79.33	2.4
1111	8	16	18	18	16	11	17	15	4	20	83.73%	76	70	76	79.09	2.4
0608	10	16	18	18	15	16	16	19	 	20	89.16%	83	61	67	79.06	2.4
5641	10	16	18	19	16	17	12	15	3	20	86.14%	83	64	70	79.06	2.4
0995	8	16	18	18	18	11	17	17	5	20	86.14%	73	69	75	79.06	2.4
8850	9	16	19	20	18	19	15	17	5	20	92.17%	70	64	70	78.87	2.4
6049	9	15	20	19	16	19	17	15	1	20	90.36%	83	59	65	78.74	2.4
1984	9	15	17	13	14	15	19	19	 	20	84.94%	79	66	72	78.58	2.4
6048	9	14	19	17	19	19	17	16	1	20	90.36%	74	63	69	78.54	2.4
0712	8	15	17	15	16	18	20	16	2	20	87.35%	74	66	72	78.54	2.4
0206	9	16	20	18	18	14	18	19	1	20	91.57%	87	55	61	78.43	2.3
2008	8	14	17	16	12	15	17	17	5	20	81.93%	80	68	74	78.37	2.3
8398	6	15	18	16	17	14	14	20	 	20	84.34%	49	81	87	78.33	2.3
0062	9	15	12	17	19	20	20	17	3	20	89.76%	76	62	68	78.30	2.3
0590	8	16	16	18	19	13	18	16	5	20	86.75%	68	69	75	78.30	2.3
9868	10	16	19	19	19	20	20	18	1	20	96.99%	82	51	57	78.00	2.3
5114	9	16	17	18	17	10	17	16	4	20	84.34%	77	66	72	77.93	2.3
4362	9	15	14	19	19	17	16	19	2	20	89.16%	79	60	66	77.86	2.3
0534	10	16	20	20	19	19	19	19	5	20	97.59%	81	50	56	77.64	2.3
2485	7	16	20	16	17	18	20	19	2	20	92.17%	86	52	58	77.27	2.2
2084	9	14	17	10	10	12	18	15	5	15	72.29%	87	71	77	77.12	2.2
5492	9	16	18	19	18	15	14	15	1	20	86.75%	64	68	74	77.10	2.2
9318	7	15	18	19	19	16	20	18	 	20	91.57%	71	59	65	76.83	2.2
3036	9	15	19	18	18	18	18	16	 	20	90.96%	78	56	62	76.79	2.2
0601	9	16	19	18	19	11	20	18	5	20	90.36%	69	61	67	76.74	2.2
6998	9	16	18	17	17	13	16	17	4	20	86.14%	86	56	62	76.46	2.1
9077	7	16	20	15	17	16	18	18	 	20	88.55%	81	56	62	76.42	2.1
2069	8	15	15	17	17	16	17	17	2	20	85.54%	77	61	67	76.42	2.1
