last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
0958	19	18	15	15	13	15	0	 	 	5	55.88%	21	26	 	27.55	0
5745	12	17	16	16	19	 	 	 	 	5	47.06%	30	35	 	25.82	0
0825	17	13	12	10	 	 	 	 	 	5	30.59%	50	55	 	23.24	0
4266	20	 	17	 	 	 	 	 	 	5	21.76%	48	53	 	19.31	0
9615	16	12	0	6	9	 	 	 	 	4	25.29%	28	33	 	16.72	0
4486	15	11	 	 	 	 	0	 	 	5	15.29%	40	45	 	15.12	0
6549	10	 	 	 	 	 	 	 	 	5	5.88%	22	27	 	7.75	0
4523	0	 	 	 	0	 	 	 	 	0	0.00%	27	32	 	6.40	0
6644	11	 	 	 	 	 	 	 	 	5	6.47%	 	 	 	2.59	0
9135	 	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0
4694	 	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0

mean	17.7	16.5	16.4	17.3	17.1	15.8	16.9	25.4	1.9	3.8	80.56%	72.1	77.1	76.9	76.93	2.5
median	18	17	17	18	18	17	18	27	2	5	85.88%	75	80	80	81.08	2.9
