last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	explore	weekly %	midterm	final	total	grade
6647	10	16	19	17	19	16	16	20	5	20	0.00	92.17%	93	80	87.47	3.3
3180	9	12	11	17	16	15	19	18	 	20	0.00	82.53%	96	88	87.41	3.3
7576	10	16	20	18	19	19	18	20	5	20	0.00	96.39%	96	74	87.35	3.3
4858	10	15	20	19	20	20	19	21	3	20	0.00	98.80%	77	81	87.32	3.3
1108	10	16	20	18	18	17	16	18	5	20	0.00	92.17%	98	77	87.27	3.3
2616	9	15	15	16	17	15	18	18	 	20	0.00	86.14%	90	87	87.26	3.3
2487	9	16	20	17	18	17	19	21	3	20	0.00	94.58%	89	79	87.23	3.3
6046	8	16	17	17	17	19	20	18	1	20	0.00	91.57%	85	84	87.23	3.3
3478	9	10	17	15	16	19	18	17	 	20	0.00	84.94%	94	86	87.18	3.3
2478	9	15	19	17	18	19	20	18	3	20	0.00	93.37%	91	79	87.15	3.3
6052	9	16	20	17	18	17	18	20	 	20	0.00	93.37%	89	80	87.15	3.3
9843	10	10	16	16	14	19	19	20	1	20	0.00	86.75%	94	84	87.10	3.3
3419	8	15	17	14	17	18	20	19	 	20	0.00	89.16%	87	85	87.06	3.3
2130	10	16	16	18	19	20	20	18	4	20	0.00	94.58%	92	77	87.03	3.3
7471	9	16	19	16	16	17	19	18	5	20	0.00	90.36%	88	83	86.94	3.3
4668	9	16	19	18	18	18	19	17	5	20	0.00	92.77%	89	80	86.91	3.3
1693	8	16	15	18	17	18	18	17	 	20	0.00	88.55%	93	82	86.82	3.3
1484	10	16	19	20	20	19	19	20	5	20	0.00	98.19%	91	73	86.68	3.2
3854	10	15	18	18	18	18	19	16	5	20	0.00	91.57%	88	81	86.63	3.2
1244	8	16	16	13	17	19	19	19	0	20	0.00	88.55%	94	81	86.62	3.2
2890	9	16	19	19	19	19	19	16	2	20	0.00	93.98%	87	79	86.59	3.2
0533	9	16	20	18	19	18	18	17	 	20	0.00	93.37%	88	79	86.55	3.2
9436	9	15	19	19	18	17	20	17	2	20	0.00	92.77%	83	82	86.51	3.2
9682	10	15	18	17	19	17	18	20	1	20	0.00	92.77%	85	81	86.51	3.2
0111	9	16	17	15	19	15	19	19	3	20	0.00	89.76%	81	86	86.50	3.2
